Epoc,Iter,M2,D2,V2,Pmech2,Loss
54,274,9.324890137,7.774644375,1.563076854,0.367158324,4.22E-05
55,275,9.324019432,7.774504185,1.564157963,0.368116111,9.31E-05
55,276,9.323470116,7.774467945,1.562362432,0.372215629,0.000264209
55,277,9.323271751,7.774560928,1.560408115,0.375819325,1.97E-05
55,278,9.323215485,7.774614334,1.559513569,0.379750282,0.000498601
55,279,9.322525978,7.774405479,1.564367056,0.383039623,0.001183526
56,280,9.322538376,7.774469376,1.567735314,0.379987299,0.000203735
56,281,9.322434425,7.774270058,1.573113203,0.375815451,0.000215334
56,282,9.322339058,7.774053574,1.578285933,0.372361332,0.000141135
56,283,9.32315731,7.773555756,1.583016276,0.367606819,2.74E-05
56,284,9.324633598,7.772159576,1.582098365,0.36848098,0.000382534
57,285,9.324137688,7.772316933,1.579871297,0.372202516,0.000155765
57,286,9.323889732,7.772279263,1.574745297,0.379208267,0.000230877
57,287,9.323745728,7.772264481,1.569854259,0.386747658,0.000264628
57,288,9.322265625,7.775966644,1.571332812,0.392295063,0.000650402
57,289,9.32089901,7.779773235,1.579324722,0.391457587,0.000386851
58,290,9.321005821,7.779785156,1.584730625,0.386152446,0.000298437
58,291,9.321188927,7.780360222,1.592967033,0.378115356,0.000156147
58,292,9.321325302,7.78122139,1.600298882,0.371573031,0.000123114
58,293,9.321534157,7.782165051,1.603134632,0.370329738,0.000284868
58,294,9.321807861,7.782464504,1.600867152,0.375145525,0.000325889
59,295,9.321997643,7.782463551,1.597127914,0.379400462,0.000236843
59,296,9.322196007,7.782474041,1.592251658,0.385362357,0.000135272
59,297,9.322408676,7.782487392,1.589186668,0.389880836,0.000131821
59,298,9.322690964,7.78250742,1.590105295,0.390606374,0.000201892
59,299,9.323218346,7.780271053,1.595210791,0.387163132,0.000210934
60,300,9.323237419,7.780265808,1.59752512,0.385183871,0.000139671
60,301,9.323245049,7.780241489,1.600660682,0.382990003,0.000147973
60,302,9.323260307,7.780215263,1.603713274,0.381403267,0.000123765
60,303,9.323261261,7.780163288,1.606955409,0.379952103,6.79E-05
60,304,9.323378563,7.780420303,1.607730985,0.38149783,0.000177144
61,305,9.323397636,7.780463219,1.606301308,0.383514702,0.000136212
61,306,9.323625565,7.780062675,1.605793118,0.384413242,6.06E-05
61,307,9.323854446,7.779660225,1.605381846,0.385720432,0.000114048
61,308,9.324091911,7.779260159,1.605809927,0.386607468,0.000107934
61,309,9.324328423,7.778864861,1.607233524,0.386975884,0.000117661
62,310,9.324332237,7.778865337,1.608335972,0.386303902,0.00011311
62,311,9.324336052,7.778870583,1.610028267,0.385538548,0.00011516
62,312,9.324551582,7.778721333,1.612993002,0.383298576,7.13E-05
62,313,9.340338707,7.768266201,1.577370048,0.396539509,0.001998783
62,314,9.359855652,7.738935947,1.546043515,0.400023341,0.000503843
63,315,9.361193657,7.738777161,1.557692766,0.386361241,0.001007376
63,316,9.361457825,7.742874622,1.577991009,0.366518378,0.000421993
63,317,9.361816406,7.751514912,1.592887759,0.352725416,0.000326586
63,318,9.362886429,7.771257877,1.593529582,0.353594959,0.001157004
63,319,9.364703178,7.785016537,1.581773996,0.368369758,0.001012121
64,320,9.364775658,7.785058975,1.5772053,0.373842657,0.000264861
64,321,9.364858627,7.785105228,1.571031451,0.381625116,0.000153777
64,322,9.364860535,7.785168648,1.567644835,0.387327135,0.0001782
64,323,9.364750862,7.787195683,1.570182562,0.387569398,0.000279302
64,324,9.364979744,7.78932476,1.577825189,0.382324308,0.000242922
65,325,9.365172386,7.789382458,1.579064608,0.382748634,0.000469542
65,326,9.370331764,7.800811291,1.576285601,0.376735926,0.000233413
65,327,9.375509262,7.812344074,1.573352218,0.37144345,0.00012926
65,328,9.380703926,7.823927879,1.570704818,0.366133809,6.79E-05
65,329,9.385856628,7.836184978,1.56369853,0.366254687,0.000249483
66,330,9.386004448,7.836723804,1.559789538,0.370893389,0.000243249
66,331,9.386279106,7.837156296,1.554756165,0.377314568,0.000192182
66,332,9.387093544,7.834255695,1.550749779,0.38206923,5.90E-05
66,333,9.387887001,7.832177162,1.552289724,0.381698251,0.000259591
66,334,9.388940811,7.830275059,1.558297873,0.376678616,0.0002077
67,335,9.38928318,7.829489708,1.558925271,0.375539809,3.88E-05
67,336,9.38960743,7.828625679,1.56099534,0.373650908,0.000162693
67,337,9.389933586,7.827759266,1.563195467,0.372282654,0.000141329
67,338,9.389544487,7.827314377,1.56549859,0.372249633,7.01E-06
67,339,9.389125824,7.826765537,1.566742897,0.374046981,0.000139292
68,340,9.388957977,7.826354027,1.566672087,0.374561369,1.26E-05
68,341,9.388788223,7.825946331,1.566495419,0.375853509,0.000138223
68,342,9.388619423,7.825528622,1.566889167,0.377191633,0.000134178
68,343,9.388525009,7.825581074,1.568244338,0.37772283,8.54E-05
68,344,9.388430595,7.825635433,1.570926905,0.377523243,0.00013901
69,345,9.388637543,7.825234413,1.571539879,0.376695514,4.51E-05
69,346,9.388846397,7.824831009,1.572544694,0.376120538,0.000134176
69,347,9.389107704,7.824155807,1.57345283,0.376363963,0.000159013
69,348,9.389369965,7.82348156,1.574347377,0.377303749,0.000133831
69,349,9.389904976,7.823133945,1.575009108,0.379407793,0.000294385
70,350,9.389866829,7.823119164,1.576415539,0.378873885,0.000173133
70,351,9.389829636,7.823105812,1.578760862,0.378018677,0.000130692
70,352,9.389792442,7.823093891,1.58129549,0.377652854,0.00013078
70,353,9.389674187,7.823779106,1.583825588,0.377871782,8.81E-05
70,354,9.389561653,7.824465752,1.585802555,0.379378498,0.00013311
71,355,9.389575958,7.824484348,1.585705638,0.380182683,0.000136402
71,356,9.389591217,7.824503422,1.58606112,0.381190002,0.000125222
71,357,9.389605522,7.824521065,1.587360382,0.381895542,0.000127393
71,358,9.389626503,7.824542046,1.589870572,0.381968915,0.000121261
71,359,9.393107414,7.827904224,1.590800405,0.376533031,0.000103074
72,360,9.393072128,7.828501701,1.588651896,0.379557878,0.000146962
72,361,9.393959045,7.828997135,1.586820126,0.380414993,1.93E-05
72,362,9.394850731,7.82949543,1.585425973,0.3815009,0.00012457
72,363,9.395750046,7.82998848,1.585275888,0.381952524,0.000125409
72,364,9.396655083,7.830480099,1.586648941,0.381495714,0.000128663
73,365,9.396656036,7.830480576,1.587737679,0.381044,0.000125155
73,366,9.397010803,7.830826283,1.589899421,0.378939927,4.88E-05
73,367,9.397356033,7.831211567,1.591328979,0.378340691,0.000125286
73,368,9.399214745,7.835188866,1.586791635,0.382726431,0.000397458
73,369,9.401087761,7.839194298,1.584034562,0.385927856,0.000128174
74,370,9.4010849,7.839241982,1.588121533,0.382374823,0.000165359
74,371,9.402767181,7.845498562,1.588318586,0.382246047,0.000579002
74,372,9.4046278,7.851784706,1.590032697,0.380615383,8.30E-05
74,373,9.406480789,7.858239651,1.59211874,0.379231989,0.000103684
74,374,9.412789345,7.857393742,1.58325839,0.3846457,0.000676606
75,375,9.412869453,7.857317924,1.586692452,0.381561041,0.000143224
75,376,9.41295433,7.857235909,1.591337442,0.377914757,0.000122656
75,377,9.413048744,7.857162952,1.594343781,0.376782298,0.000138322
75,378,9.413162231,7.857123375,1.59458673,0.37937513,0.000155628
75,379,9.413898468,7.858956814,1.595069408,0.380329281,1.36E-05
76,380,9.413920403,7.859075069,1.594175577,0.382035762,0.00013344
76,381,9.413942337,7.859202862,1.593665242,0.384100288,0.000121424
76,382,9.413930893,7.859344482,1.594659448,0.385571122,0.000148963
76,383,9.41392231,7.859492779,1.598167181,0.385150969,0.00013004
76,384,9.413906097,7.859678745,1.603390098,0.383718818,0.000124287
77,385,9.413908005,7.859677315,1.603446245,0.384419233,0.000116791
77,386,9.413909912,7.859675884,1.604026794,0.38531819,0.000113902
77,387,9.4162817,7.858050346,1.597882628,0.3913894,0.000450297
77,388,9.418698311,7.856165886,1.597499251,0.392164558,0.000187287
77,389,9.422123909,7.853044033,1.602660894,0.385750115,0.00019084
78,390,9.422125816,7.853024483,1.604140997,0.38494727,0.000116965
78,391,9.4221735,7.853075027,1.605738521,0.384907871,0.000145676
78,392,9.42222023,7.853125572,1.607861757,0.385084033,0.000111798
78,393,9.422345161,7.852712631,1.609751463,0.386320829,0.000133914
78,394,9.423176765,7.851492882,1.61353755,0.38448149,6.01E-05
79,395,9.423181534,7.851511002,1.612514377,0.38635394,0.000116838
79,396,9.423191071,7.851527691,1.611743569,0.388759643,0.00011392
79,397,9.423204422,7.851548195,1.613043189,0.389749646,0.000114695
79,398,9.423225403,7.851574898,1.616893411,0.388808072,0.000117049
79,399,9.423247337,7.851599693,1.622054338,0.387269646,0.00010837
80,400,9.423254013,7.85160923,1.621451735,0.388694316,0.00010974
80,401,9.423260689,7.851619244,1.621345997,0.390375555,0.000104845
80,402,9.425410271,7.851786613,1.61387825,0.397913873,0.000369706
80,403,9.428074837,7.853157997,1.614211798,0.396890163,0.00023813
80,404,9.430751801,7.855201721,1.62186861,0.388978988,0.000206639
81,405,9.430751801,7.855201721,1.622505426,0.389096528,0.000104498
81,406,9.432144165,7.853304863,1.625446796,0.38435787,7.26E-05
