Iteration,M2,M3,D2,D3,V2,V3,Pmech2,Pmech3,Loss,Time,Gradient Norm
3,19.20952034,12.93654537,10.48951626,11.11318779,2.177592278,2.634738922,-3.121844053,0.523491502,0.000339239,15.73827195,0.052550279
3,19.20862961,12.9336319,10.49517536,11.11574936,2.171993732,2.631217003,-3.121807098,0.523524642,0.000746502,15.87807393,0.041223932
3,19.20777321,12.93068218,10.50089073,11.11835003,2.164938688,2.62689805,-3.121776342,0.523553073,0.00011499,16.01870894,0.035154797
4,19.20703888,12.93039036,10.50174904,11.11847115,2.164618492,2.626565933,-3.121790171,0.523539424,0.0001178,16.15980291,0.016818682
4,19.20628166,12.93008327,10.50258732,11.11864758,2.163977385,2.625995874,-3.121807814,0.523521781,6.78E-05,16.29966187,0.021620451
4,19.20554352,12.9297514,10.50372696,11.11892986,2.162442923,2.625008821,-3.121823311,0.523506999,6.40E-05,16.44030499,0.017984807
4,19.20479202,12.92939663,10.50488853,11.1192627,2.160611153,2.623812437,-3.121840954,0.523490012,6.71E-05,16.58061409,0.020603618
4,19.20401192,12.92901325,10.50606823,11.1196537,2.158645868,2.622482777,-3.121860266,0.523470938,6.73E-05,16.72215176,0.022987677
4,19.20318604,12.92858505,10.50736332,11.12008381,2.156594276,2.621091366,-3.121877193,0.523453832,6.65E-05,16.86103106,0.02055279
4,19.20197868,12.92793179,10.50896072,11.12080765,2.154219627,2.619336605,-3.121897936,0.523432195,0.000224659,17.00096607,0.025838671
4,19.20072937,12.927248,10.51054859,11.12161446,2.152443409,2.617804766,-3.121917725,0.523410201,7.25E-05,17.14199996,0.026167031
4,19.19943428,12.92654037,10.51217461,11.12250328,2.151581764,2.616669416,-3.121933699,0.523390174,8.09E-05,17.28180814,0.023692938
4,19.19805145,12.92580509,10.51379967,11.12347317,2.151701212,2.615960598,-3.121945381,0.523372531,9.25E-05,17.42290974,0.020764485
4,19.1966114,12.9250412,10.51547813,11.12452507,2.152909279,2.615740776,-3.121952057,0.523357928,8.67E-05,17.56482387,0.017087946
4,19.1949501,12.92414379,10.51744652,11.12563705,2.154905081,2.615949869,-3.121948957,0.523351312,7.75E-05,17.70624399,0.007675301
4,19.19322777,12.92320538,10.51950741,11.12681293,2.157701254,2.616525888,-3.121940851,0.523348153,7.31E-05,17.84789896,0.003687199
4,19.19142532,12.92223167,10.52159023,11.12805176,2.160909653,2.617254972,-3.121930122,0.523346305,7.93E-05,17.98897505,0.002108513
4,19.18958664,12.92122936,10.52370358,11.12934685,2.164288759,2.618020296,-3.121918201,0.523344934,6.67E-05,18.13004208,0.001605339
4,19.18772507,12.92019939,10.52584648,11.13069248,2.167544842,2.61867404,-3.121906281,0.523342907,6.40E-05,18.27093196,0.002282567
4,19.18585014,12.91914082,10.52801514,11.13208294,2.170397282,2.619071722,-3.121896029,0.523339212,6.65E-05,18.41321278,0.004181663
4,19.18397522,12.9180584,10.53019619,11.13351536,2.172684431,2.619127989,-3.121888399,0.523333132,6.87E-05,18.55475807,0.006897568
4,19.18211555,12.9169302,10.53248119,11.13498211,2.173772335,2.618545532,-3.121883154,0.523325443,9.26E-05,18.69536304,0.008659936
4,19.18025208,12.9157629,10.53481579,11.13648033,2.173817396,2.617384672,-3.121881962,0.523314655,8.56E-05,18.83653188,0.012064546
5,19.18028641,12.91573715,10.53490067,11.13650513,2.172674417,2.616786242,-3.121884108,0.523313463,8.39E-05,18.97808886,0.001343784
5,19.18039894,12.91572571,10.53496838,11.13661861,2.171417952,2.616059065,-3.121887684,0.523310483,6.55E-05,19.11911798,0.003292686
5,19.18050766,12.91568565,10.53505898,11.13676357,2.169486284,2.614942551,-3.121893644,0.523305357,7.15E-05,19.25981784,0.005620243
5,19.18066025,12.91563797,10.53528595,11.13696575,2.167186022,2.613628626,-3.121897936,0.52330178,5.46E-05,19.40079618,0.003945515
5,19.17991447,12.91569519,10.5383234,11.13874531,2.162085295,2.611023664,-3.121886015,0.523317933,0.000281857,19.54181004,0.017623238
5,19.17909241,12.91571617,10.5413866,11.14058304,2.157241106,2.608492136,-3.12187171,0.523335576,7.63E-05,19.68322301,0.019138185
5,19.17821312,12.91571236,10.54449844,11.14249706,2.153340816,2.606392622,-3.121851921,0.523356736,8.00E-05,19.82447672,0.022880977
5,19.17715454,12.91550636,10.54750729,11.14464664,2.150520086,2.604708195,-3.121831894,0.523375869,0.000113013,19.96598911,0.020593265
5,19.17272568,12.91584015,10.55132389,11.14806652,2.150753021,2.603975058,-3.121818304,0.523383021,0.000701268,20.10850811,0.007675698
5,19.1681366,12.91571712,10.55517769,11.15187168,2.152245045,2.603707552,-3.121807814,0.523384809,0.000118572,20.24968386,0.001879725
5,19.16347694,12.91556263,10.55910683,11.15578365,2.155446529,2.604259729,-3.12178874,0.523391962,0.000111059,20.39086103,0.007584362
5,19.15872955,12.91538239,10.56304264,11.15978336,2.159959555,2.605434418,-3.121762991,0.523403347,9.64E-05,20.53207898,0.012021508
5,19.15395927,12.91514015,10.56695461,11.16388416,2.165133238,2.606866121,-3.121737242,0.523413062,6.38E-05,20.67289209,0.010184361
5,19.14916611,12.91487408,10.57090092,11.16804695,2.170602798,2.608412981,-3.121709347,0.523423851,6.27E-05,20.81361079,0.011275986
5,19.14393425,12.91256714,10.57836246,11.17366123,2.17394042,2.608449936,-3.121708393,0.523409903,0.000291186,20.95300698,0.014447948
5,19.13836098,12.91069412,10.58841991,11.18070221,2.174550533,2.607110739,-3.121693611,0.523413002,0.000281916,21.094136,0.003229393
5,19.13262939,12.90855217,10.59860611,11.18780708,2.174288988,2.605199814,-3.121688604,0.523406982,7.19E-05,21.23530889,0.006193987
5,19.12687111,12.90635395,10.60865307,11.19491005,2.173472166,2.602934837,-3.12168622,0.523398399,6.80E-05,21.37650871,0.008767132
5,19.12111092,12.90412045,10.61856937,11.20201015,2.172348022,2.600459814,-3.121684074,0.52338928,6.22E-05,21.52044678,0.009299498
5,19.115345,12.90185165,10.62836361,11.20911026,2.171131372,2.597890615,-3.121680975,0.523380578,6.06E-05,21.66202211,0.008825177
6,19.11425972,12.90030193,10.63000393,11.21050072,2.167022467,2.595912695,-3.121666431,0.523400366,0.000352711,21.80389094,0.019909482
6,19.11313629,12.89872074,10.63168049,11.21195221,2.163550615,2.594225645,-3.12164712,0.523423195,6.69E-05,21.94461799,0.022879045
6,19.1119709,12.89711285,10.63337326,11.2134819,2.161111355,2.593027592,-3.121622324,0.5234496,7.73E-05,22.08520579,0.026319504
6,19.11073494,12.89546585,10.6351347,11.21509266,2.160039186,2.592506886,-3.121589184,0.523481607,9.00E-05,22.22638512,0.031772334
6,19.1093998,12.89365768,10.63729191,11.21688175,2.160743475,2.59288764,-3.121545553,0.523521125,0.000103371,22.36730003,0.039024521
